"NIBRS Crimes and Rates by County - Last 3 Years"
"Current date: 3/6/2021 3:51:09 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Jurisdiction by Geography","Incident Date","Offense Type","Number of Crimes",
"Las Animas County","2020","Crimes Against Society","97"
"Las Animas County","2021","Crimes Against Person","17"
"Las Animas County","2021","Crimes Against Property","56"
"Las Animas County","2021","Crimes Against Society","2"
"Lincoln County","2019","Crimes Against Person","18"
"Lincoln County","2019","Crimes Against Property","35"
"Lincoln County","2019","Crimes Against Society","1"
"Lincoln County","2020","Crimes Against Person","14"
"Lincoln County","2020","Crimes Against Property","40"
"Lincoln County","2020","Crimes Against Society","13"
"Lincoln County","2021","Crimes Against Person",""
"Lincoln County","2021","Crimes Against Property","14"
"Lincoln County","2021","Crimes Against Society",""
"Logan County","2019","Crimes Against Person","359"
"Logan County","2019","Crimes Against Property","1,033"
"Logan County","2019","Crimes Against Society","259"
"Logan County","2020","Crimes Against Person","256"
"Logan County","2020","Crimes Against Property","1,103"
"Logan County","2020","Crimes Against Society","136"
"Logan County","2021","Crimes Against Person","42"
"Logan County","2021","Crimes Against Property","123"
"Logan County","2021","Crimes Against Society","14"
"Mesa County","2019","Crimes Against Person","1,851"
"Mesa County","2019","Crimes Against Property","6,087"
"Mesa County","2019","Crimes Against Society","1,757"
"Mesa County","2020","Crimes Against Person","2,082"
"Mesa County","2020","Crimes Against Property","7,205"
"Mesa County","2020","Crimes Against Society","1,192"
"Mesa County","2021","Crimes Against Person","360"
"Mesa County","2021","Crimes Against Property","1,274"
"Mesa County","2021","Crimes Against Society","245"
"Mineral County","2019","Crimes Against Person",""
"Mineral County","2019","Crimes Against Property",""
"Mineral County","2019","Crimes Against Society",""
"Mineral County","2020","Crimes Against Person",""
"Mineral County","2020","Crimes Against Property",""
"Mineral County","2020","Crimes Against Society",""
"Mineral County","2021","Crimes Against Person",""
"Mineral County","2021","Crimes Against Property",""
"Mineral County","2021","Crimes Against Society",""
"Moffat County","2019","Crimes Against Person","124"
"Moffat County","2019","Crimes Against Property","399"
"Moffat County","2019","Crimes Against Society","233"
"Moffat County","2020","Crimes Against Person","121"
"Moffat County","2020","Crimes Against Property","323"
"Moffat County","2020","Crimes Against Society","172"
"Moffat County","2021","Crimes Against Person","1"
"Moffat County","2021","Crimes Against Property","12"
"Moffat County","2021","Crimes Against Society","1"
"Montezuma County","2019","Crimes Against Person","272"
"Montezuma County","2019","Crimes Against Property","706"
"Montezuma County","2019","Crimes Against Society","126"
"Montezuma County","2020","Crimes Against Person","299"
"Montezuma County","2020","Crimes Against Property","783"
"Montezuma County","2020","Crimes Against Society","82"
"Montezuma County","2021","Crimes Against Person","72"
"Montezuma County","2021","Crimes Against Property","149"
"Montezuma County","2021","Crimes Against Society","8"
"Montrose County","2019","Crimes Against Person","388"
"Montrose County","2019","Crimes Against Property","1,452"
"Montrose County","2019","Crimes Against Society","452"
"Montrose County","2020","Crimes Against Person","343"
"Montrose County","2020","Crimes Against Property","1,377"
"Montrose County","2020","Crimes Against Society","323"
"Montrose County","2021","Crimes Against Person","63"
"Montrose County","2021","Crimes Against Property","202"
"Montrose County","2021","Crimes Against Society","37"
"Morgan County","2019","Crimes Against Person","253"
"Morgan County","2019","Crimes Against Property","755"
"Morgan County","2019","Crimes Against Society","136"
"Morgan County","2020","Crimes Against Person","267"
"Morgan County","2020","Crimes Against Property","810"
"Morgan County","2020","Crimes Against Society","97"
"Morgan County","2021","Crimes Against Person","51"
"Morgan County","2021","Crimes Against Property","161"
"Morgan County","2021","Crimes Against Society","16"
"Otero County","2019","Crimes Against Person","137"
"Otero County","2019","Crimes Against Property","650"
"Otero County","2019","Crimes Against Society","109"
"Otero County","2020","Crimes Against Person","126"
"Otero County","2020","Crimes Against Property","498"
"Otero County","2020","Crimes Against Society","31"
"Otero County","2021","Crimes Against Person","17"
"Otero County","2021","Crimes Against Property","108"
"Otero County","2021","Crimes Against Society","3"
"Ouray County","2019","Crimes Against Person","5"
"Ouray County","2019","Crimes Against Property","16"
"Ouray County","2019","Crimes Against Society","2"
"Ouray County","2020","Crimes Against Person","9"
"Ouray County","2020","Crimes Against Property","43"
"Ouray County","2020","Crimes Against Society",""
"Ouray County","2021","Crimes Against Person","1"
"Ouray County","2021","Crimes Against Property","12"
"Ouray County","2021","Crimes Against Society",""
"Park County","2019","Crimes Against Person","103"
"Park County","2019","Crimes Against Property","145"
"Park County","2019","Crimes Against Society","26"
"Park County","2020","Crimes Against Person","81"
"Park County","2020","Crimes Against Property","102"
